"word","count","disc_count","fw_count","estimate","leftover_prob","beta"
"cafechilli.com_in",1,0.3,1,0.3,0.7,0.750283602912413
"the_siam",1,0.3,4856,0.0000617792,0.7,0.7
"siam_paragon",1,0.3,1,0.3,0.7,0.7
"paragon_mall",1,0.3,1,0.3,0.7,0.925
"mall_which",1,0.3,4,0.075,0.7,0.989261758255033
"features_specialties",1,0.3,10,0.03,0.7,0.7
"specialties_from",1,0.3,1,0.3,0.7,0.999238513147208
"from_northeastern",1,0.3,394,0.000761421,0.7,0.7
"northeastern_thailand",1,0.3,1,0.3,0.7,0.7
"thailand_the",1,0.3,1,0.3,0.7,0.993142437205601
"started_is",1,0.3,28,0.010714286,0.7,0.980404101094903
"quit_talking",1,0.3,7,0.042857143,0.7,0.950000004846154
"begin_doing",1,0.3,17,0.017647059,0.7,0.99444445662963
"doing_these",1,0.3,54,0.005555556,0.7,0.996052609947368
"these_districts",1,0.3,76,0.003947368,0.7,0.94
"districts_including",1,0.3,5,0.06,0.7,0.877777775518518
"largest_santa",1,0.3,5,0.06,0.7,0.74
"ana_unified",1,0.3,2,0.15,0.7,0.925
"unified_are",1,0.3,4,0.075,0.7,0.995668603109228
"of_means",1,0.3,1984,0.00015121,0.7,0.8625
"ensure_expenses",1,0.3,9,0.033333333,0.7,0.85
"expenses_are",1,0.3,2,0.15,0.7,0.999435081109228
"are_met",1,0.3,531,0.000564972,0.7,0.891666666666667
"using_federal",1,0.3,29,0.010344828,0.7,0.982352942647059
"federal_jobs",1,0.3,17,0.017647059,0.7,0.988
"jobs_bill",1,0.3,25,0.012,0.7,0.976923076
"bill_money",1,0.3,13,0.023076923,0.7,0.931249998
"to_bridge",1,0.3,2827,0.00010612,0.7,0.9625
"bridge_gaps",1,0.3,8,0.0375,0.7,0.7
"gaps_others",1,0.3,1,0.3,0.7,0.91481481237037
"are_digging",1,0.3,531,0.000564972,0.7,0.925
"digging_into",1,0.3,4,0.075,0.7,0.998013249562914
"into_reserves",1,0.3,151,0.001986755,0.7,0.85
"reserves_some",1,0.3,2,0.15,0.7,0.989150894660377
"using_furlough",1,0.3,29,0.010344828,0.7,0.7
"furlough_days",1,0.3,1,0.3,0.7,0.994444459481481
"days_and",1,0.3,54,0.005555556,0.7,0.945144210477366
"the_option",1,0.3,4856,0.0000617792,0.7,0.744444442444444
"shorter_instructional",1,0.3,2,0.15,0.7,0.7
"instructional_year",1,0.3,1,0.3,0.7,0.9816
"keep_down",1,0.3,54,0.005555556,0.7,0.997169825679245
"down_costs",1,0.3,106,0.002830189,0.7,0.966666664
"costs_allowing",1,0.3,9,0.033333333,0.7,0.957142858
"allowing_electronic",1,0.3,7,0.042857143,0.7,0.675
"pulltabs_in",1,0.3,2,0.15,0.7,0.999180892912413
"minnesota_isn't",1,0.3,3,0.1,0.7,0.988461547230769
"isn't_proving",1,0.3,26,0.011538462,0.7,0.85
"proving_to",1,0.3,2,0.15,0.7,0.93869847315069
"once_seemed",1,0.3,44,0.006818182,0.7,0.976923076230769
"seemed_although",1,0.3,13,0.023076923,0.7,0.98125
"although_state",1,0.3,16,0.01875,0.7,0.995161306354839
"state_revenue",1,0.3,62,0.00483871,0.7,0.94
"revenue_analysts",1,0.3,5,0.06,0.7,0.35
"are_confident",1,0.3,531,0.000564972,0.7,0.9
"confident_in",1,0.3,3,0.1,0.7,0.990359216912413
"their_million",1,0.3,204,0.001470588,0.7,0.993181824818182
"million_annual",1,0.3,44,0.006818182,0.7,0.972727270363636
"annual_estimate",1,0.3,11,0.027272727,0.7,0.85
"estimate_the",1,0.3,2,0.15,0.7,0.999732223205601
"figure_does",1,0.3,9,0.033333333,0.7,0.798360662098361
"include_tax",1,0.3,16,0.01875,0.7,0.907142852
"relief_for",1,0.3,7,0.042857143,0.7,0.823626272897436
"the_charitable",1,0.3,4856,0.0000617792,0.7,0.7
"charitable_gambling",1,0.3,1,0.3,0.7,0.7
"gambling_industry",1,0.3,1,0.3,0.7,0.976923076153846
"industry_the",1,0.3,13,0.023076923,0.7,0.999938154005601
"the_group's",1,0.3,4856,0.0000617792,0.7,0.85
"group's_main",1,0.3,2,0.15,0.7,0.975
"main_reason",1,0.3,12,0.025,0.7,0.810714288
"for_proposing",1,0.3,1092,0.000274725,0.7,0.925
"proposing_electronic",1,0.3,4,0.075,0.7,0.675
"pulltabs_and",1,0.3,2,0.15,0.7,0.979300589477366
"industry_now",1,0.3,13,0.023076923,0.7,0.998136638565217
"now_views",1,0.3,161,0.001863354,0.7,0.85
"views_the",1,0.3,2,0.15,0.7,0.999732223205601
"plan_as",1,0.3,20,0.015,0.7,0.999390222617886
"as_problematic",1,0.3,492,0.000609756,0.7,0.7
"problematic_tax",1,0.3,1,0.3,0.7,0.907142852
"relief_would",1,0.3,7,0.042857143,0.7,0.998314592842697
"would_cut",1,0.3,178,0.001685393,0.7,0.988461547230769
"cut_into",1,0.3,26,0.011538462,0.7,0.759602653562914
"million_perhaps",1,0.3,44,0.006818182,0.7,0.957142858
"perhaps_by",1,0.3,7,0.042857143,0.7,0.998965559137931
